"","names.sc.cpart.sc.cpart..in..c.6..10..."
"1","B6_WT_9wks_CT_M5_P3_21"
"2","B6_WT_9wks_HFD1d_M6_P3_177"
"3","B6_WT_9wks_CT_M1_P1_119"
"4","B6_WT_9wks_CT_M1_P1_153"
"5","B6_WT_9wks_CT_M1_P1_167"
"6","B6_WT_9wks_CT_M1_P1_187"
"7","B6_WT_9wks_CT_M1_P1_192"
"8","B6_WT_9wks_CT_M3_P2_98"
"9","B6_WT_9wks_CT_M3_P2_104"
"10","B6_WT_9wks_CT_M3_P2_112"
"11","B6_WT_9wks_CT_M3_P2_156"
"12","B6_WT_9wks_CT_M3_P2_183"
"13","B6_WT_9wks_CT_M3_P2_189"
